feature,mean_abs_shap_correct,mean_abs_shap_missed,gap
ngram_com,0.013257312,0.012285102,0.0009722095
ext_css_num_classes,0.057285838,0.05662727,0.000658568
country_other,0.00025738572,0.0009150613,0.00065767555
country_uk,0.0017899283,0.002336145,0.0005462166
css_total_length,0.010577435,0.010982581,0.00040514674
ngram_om,0.012300151,0.012657957,0.00035780575
css_num_transitions,0.014446921,0.014111292,0.0003356291
ext_css_has_position_absolute,0.0064371764,0.0067691975,0.00033202115
has_privacy_policy_link,0.019672276,0.01948328,0.00018899702
ngram_net,0.015454156,0.015350439,0.00010371767
ngram_.org,0.00012899382,0.00012367881,5.3150143e-06
country_turkey,0.0,0.0,0.0
country_israel,0.0,0.0,0.0
country_india,0.0,0.0,0.0
ngram_mes,0.0,0.0,0.0
ngram_free,0.0,0.0,0.0
ngram_org,0.0,0.0,0.0
ngram_trib,0.0,0.0,0.0
