,mean_abs_TP,mean_abs_FN_all,mean_abs_FN_high,mean_abs_FN_med,delta_TP_vs_FN_all,delta_TP_vs_FN_high
ngram_nat,0.012381187,0.005459972,0.0071138544,0.003362366,0.0069212145,0.0052673323
has_terms_link,0.025677884,0.019111812,0.019004205,0.019248292,0.006566072,0.0066736788
ratio_empty_links,0.028301593,0.034779314,0.028954593,0.04216677,-0.006477721,-0.00065300055
ngram_.com,0.06963878,0.06322493,0.0632294,0.063219264,0.0064138547,0.0064093843
ext_css_num_animations,0.022845997,0.016438093,0.018733691,0.013526605,0.0064079035,0.004112305
css_total_length,0.029875461,0.035978302,0.034342792,0.038052607,-0.0061028413,-0.004467331
clickbait_exclamation_headlines,0.039259963,0.045011643,0.04441201,0.045772176,-0.0057516806,-0.0051520467
has_robots_meta,0.07036573,0.07611733,0.07547163,0.07693626,-0.0057516024,-0.0051059052
css_num_class_selectors,0.05943002,0.06487839,0.059236832,0.07203352,-0.0054483674,0.00019318983
log_text_length,0.029473163,0.034872234,0.03323511,0.036948584,-0.0053990707,-0.0037619472
has_meta_description,0.08140833,0.07635134,0.073510975,0.07995373,0.005056992,0.007897355
complexity_score,0.21400526,0.21900824,0.25097674,0.1784628,-0.0050029755,-0.03697148
ext_css_has_bootstrap,0.017793415,0.012872557,0.01495499,0.010231422,0.004920858,0.0028384253
text_to_html_ratio,0.06908092,0.064344026,0.06510342,0.06338089,0.004736893,0.0039775
ngram_.org,0.014595588,0.009964281,0.009234111,0.010890353,0.004631307,0.005361477
has_contact_page_link,0.09724571,0.09277546,0.086017966,0.10134593,0.0044702515,0.011227742
ext_css_size_bytes,0.028631706,0.024182666,0.021179827,0.027991144,0.0044490397,0.007451879
clickbait_total,0.017169012,0.021316158,0.021390615,0.021221722,-0.004147146,-0.0042216033
inline_script_count,0.19325766,0.18931077,0.1962483,0.18051198,0.0039468855,-0.0029906332
ext_css_uses_universal_selector,0.015236111,0.011496494,0.011331538,0.011705709,0.0037396178,0.0039045736
ext_css_has_flexbox,0.037931018,0.03426936,0.03728248,0.03044783,0.0036616586,0.0006485358
css_num_transitions,0.015339915,0.01899628,0.019206772,0.01872931,-0.003656365,-0.003866857
css_avg_selector_length,0.027602274,0.031228544,0.029922847,0.03288456,-0.0036262702,-0.0023205727
num_lists,0.11675145,0.113202065,0.12937868,0.09268538,0.003549382,-0.012627229
css_num_id_selectors,0.050487343,0.054027766,0.065420955,0.039577868,-0.0035404228,-0.014933612
media_type_tv_station,0.009669157,0.013115065,0.016413096,0.0089322,-0.0034459084,-0.0067439396
ngram_com,0.01783318,0.0144670755,0.017679112,0.010393271,0.0033661053,0.0001540687
