tier,n_features_input,macro_f1,macro_f1_std,f1_high,f1_medium,f1_low,accuracy
NoMBFC,164,0.5507,0.021,0.887,0.3996,0.3683,0.7973
PureStructural,82,0.558,0.0168,0.8729,0.4225,0.3787,0.7806
